,season,week,home_team,home_points,away_team,away_points,winner,first_name,last_name,coach,rank,conference
137,2011,12,Notre Dame,16,Boston College,14,Notre Dame,Brian,Kelly,Brian Kelly,24,FBS Independents
138,2011,13,Stanford,28,Notre Dame,14,Stanford,Brian,Kelly,Brian Kelly,22,FBS Independents
139,2012,1,Navy,10,Notre Dame,50,Notre Dame,Brian,Kelly,Brian Kelly,0,0
140,2012,2,Notre Dame,20,Purdue,17,Notre Dame,Brian,Kelly,Brian Kelly,22,FBS Independents
141,2012,3,Michigan State,3,Notre Dame,20,Notre Dame,Brian,Kelly,Brian Kelly,20,FBS Independents
142,2012,4,Notre Dame,13,Michigan,6,Notre Dame,Brian,Kelly,Brian Kelly,11,FBS Independents
143,2012,6,Notre Dame,41,Miami,3,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
144,2012,7,Notre Dame,20,Stanford,13,Notre Dame,Brian,Kelly,Brian Kelly,7,FBS Independents
145,2012,8,Notre Dame,17,BYU,14,Notre Dame,Brian,Kelly,Brian Kelly,5,FBS Independents
146,2012,9,Oklahoma,13,Notre Dame,30,Notre Dame,Brian,Kelly,Brian Kelly,5,FBS Independents
147,2012,10,Notre Dame,29,Pittsburgh,26,Notre Dame,Brian,Kelly,Brian Kelly,4,FBS Independents
148,2012,11,Boston College,6,Notre Dame,21,Notre Dame,Brian,Kelly,Brian Kelly,4,FBS Independents
149,2012,12,Notre Dame,38,Wake Forest,0,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
150,2012,13,USC,13,Notre Dame,22,Notre Dame,Brian,Kelly,Brian Kelly,1,FBS Independents
151,2013,1,Notre Dame,28,Temple,6,Notre Dame,Brian,Kelly,Brian Kelly,14,FBS Independents
152,2013,2,Michigan,41,Notre Dame,30,Michigan,Brian,Kelly,Brian Kelly,14,FBS Independents
153,2013,3,Purdue,24,Notre Dame,31,Notre Dame,Brian,Kelly,Brian Kelly,21,FBS Independents
154,2013,4,Notre Dame,17,Michigan State,13,Notre Dame,Brian,Kelly,Brian Kelly,22,FBS Independents
155,2013,5,Notre Dame,21,Oklahoma,35,Oklahoma,Brian,Kelly,Brian Kelly,22,FBS Independents
156,2013,6,Notre Dame,37,Arizona State,34,Notre Dame,Brian,Kelly,Brian Kelly,0,0
157,2013,8,Notre Dame,14,USC,10,Notre Dame,Brian,Kelly,Brian Kelly,0,0
158,2013,9,Air Force,10,Notre Dame,45,Notre Dame,Brian,Kelly,Brian Kelly,0,0
159,2013,10,Notre Dame,38,Navy,34,Notre Dame,Brian,Kelly,Brian Kelly,0,0
160,2013,11,Pittsburgh,28,Notre Dame,21,Pittsburgh,Brian,Kelly,Brian Kelly,24,FBS Independents
161,2013,13,Notre Dame,23,BYU,13,Notre Dame,Brian,Kelly,Brian Kelly,0,0
162,2013,14,Stanford,27,Notre Dame,20,Stanford,Brian,Kelly,Brian Kelly,25,FBS Independents
163,2014,1,Notre Dame,48,Rice,17,Notre Dame,Brian,Kelly,Brian Kelly,17,FBS Independents
164,2014,2,Notre Dame,31,Michigan,0,Notre Dame,Brian,Kelly,Brian Kelly,16,FBS Independents
165,2014,3,Notre Dame,30,Purdue,14,Notre Dame,Brian,Kelly,Brian Kelly,11,FBS Independents
166,2014,5,Syracuse,15,Notre Dame,31,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
167,2014,6,Notre Dame,17,Stanford,14,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
168,2014,7,Notre Dame,50,North Carolina,43,Notre Dame,Brian,Kelly,Brian Kelly,6,FBS Independents
169,2014,8,Florida State,31,Notre Dame,27,Florida State,Brian,Kelly,Brian Kelly,5,FBS Independents
170,2014,10,Navy,39,Notre Dame,49,Notre Dame,Brian,Kelly,Brian Kelly,6,FBS Independents
171,2014,11,Arizona State,55,Notre Dame,31,Arizona State,Brian,Kelly,Brian Kelly,8,FBS Independents
172,2014,12,Notre Dame,40,Northwestern,43,Northwestern,Brian,Kelly,Brian Kelly,15,FBS Independents
173,2014,13,Notre Dame,28,Louisville,31,Louisville,Brian,Kelly,Brian Kelly,0,0
174,2014,14,USC,49,Notre Dame,14,USC,Brian,Kelly,Brian Kelly,0,0
175,2015,1,Notre Dame,38,Texas,3,Notre Dame,Brian,Kelly,Brian Kelly,11,FBS Independents
176,2015,2,Virginia,27,Notre Dame,34,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
177,2015,3,Notre Dame,30,Georgia Tech,22,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
178,2015,4,Notre Dame,62,UMass,27,Notre Dame,Brian,Kelly,Brian Kelly,6,FBS Independents
179,2015,5,Clemson,24,Notre Dame,22,Clemson,Brian,Kelly,Brian Kelly,6,FBS Independents
180,2015,6,Notre Dame,41,Navy,24,Notre Dame,Brian,Kelly,Brian Kelly,15,FBS Independents
181,2015,7,Notre Dame,41,USC,31,Notre Dame,Brian,Kelly,Brian Kelly,14,FBS Independents
182,2015,9,Temple,20,Notre Dame,24,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
183,2015,10,Pittsburgh,30,Notre Dame,42,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
184,2015,11,Notre Dame,28,Wake Forest,7,Notre Dame,Brian,Kelly,Brian Kelly,6,FBS Independents
185,2015,12,Notre Dame,19,Boston College,16,Notre Dame,Brian,Kelly,Brian Kelly,5,FBS Independents
186,2015,13,Stanford,38,Notre Dame,36,Stanford,Brian,Kelly,Brian Kelly,4,FBS Independents
187,2016,1,Texas,50,Notre Dame,47,Texas,Brian,Kelly,Brian Kelly,10,FBS Independents
188,2016,2,Notre Dame,39,Nevada,10,Notre Dame,Brian,Kelly,Brian Kelly,18,FBS Independents
189,2016,3,Notre Dame,28,Michigan State,36,Michigan State,Brian,Kelly,Brian Kelly,18,FBS Independents
190,2016,4,Notre Dame,35,Duke,38,Duke,Brian,Kelly,Brian Kelly,0,0
191,2016,5,Syracuse,33,Notre Dame,50,Notre Dame,Brian,Kelly,Brian Kelly,0,0
192,2016,6,NC State,10,Notre Dame,3,NC State,Brian,Kelly,Brian Kelly,0,0
193,2016,7,Notre Dame,10,Stanford,17,Stanford,Brian,Kelly,Brian Kelly,0,0
194,2016,9,Notre Dame,30,Miami,27,Notre Dame,Brian,Kelly,Brian Kelly,0,0
195,2016,10,Navy,28,Notre Dame,27,Navy,Brian,Kelly,Brian Kelly,0,0
196,2016,11,Notre Dame,44,Army,6,Notre Dame,Brian,Kelly,Brian Kelly,0,0
197,2016,12,Notre Dame,31,Virginia Tech,34,Virginia Tech,Brian,Kelly,Brian Kelly,0,0
198,2016,13,USC,45,Notre Dame,27,USC,Brian,Kelly,Brian Kelly,0,0
199,2017,1,Notre Dame,49,Temple,16,Notre Dame,Brian,Kelly,Brian Kelly,0,0
200,2017,2,Notre Dame,19,Georgia,20,Georgia,Brian,Kelly,Brian Kelly,24,FBS Independents
201,2017,3,Boston College,20,Notre Dame,49,Notre Dame,Brian,Kelly,Brian Kelly,0,0
202,2017,4,Michigan State,18,Notre Dame,38,Notre Dame,Brian,Kelly,Brian Kelly,0,0
203,2017,5,Notre Dame,52,Miami (OH),17,Notre Dame,Brian,Kelly,Brian Kelly,22,FBS Independents
204,2017,6,North Carolina,10,Notre Dame,33,Notre Dame,Brian,Kelly,Brian Kelly,21,FBS Independents
205,2017,8,Notre Dame,49,USC,14,Notre Dame,Brian,Kelly,Brian Kelly,13,FBS Independents
206,2017,9,Notre Dame,35,NC State,14,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
207,2017,10,Notre Dame,48,Wake Forest,37,Notre Dame,Brian,Kelly,Brian Kelly,5,FBS Independents
208,2017,11,Miami,41,Notre Dame,8,Miami,Brian,Kelly,Brian Kelly,3,FBS Independents
209,2017,12,Notre Dame,24,Navy,17,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
210,2017,13,Stanford,38,Notre Dame,20,Stanford,Brian,Kelly,Brian Kelly,9,FBS Independents
211,2018,1,Notre Dame,24,Michigan,17,Notre Dame,Brian,Kelly,Brian Kelly,12,FBS Independents
212,2018,2,Notre Dame,24,Ball State,16,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
213,2018,3,Notre Dame,22,Vanderbilt,17,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
214,2018,4,Wake Forest,27,Notre Dame,56,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
215,2018,5,Notre Dame,38,Stanford,17,Notre Dame,Brian,Kelly,Brian Kelly,8,FBS Independents
216,2018,6,Virginia Tech,23,Notre Dame,45,Notre Dame,Brian,Kelly,Brian Kelly,6,FBS Independents
217,2018,7,Notre Dame,19,Pittsburgh,14,Notre Dame,Brian,Kelly,Brian Kelly,5,FBS Independents
218,2018,9,Navy,22,Notre Dame,44,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
219,2018,10,Northwestern,21,Notre Dame,31,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
220,2018,11,Notre Dame,42,Florida State,13,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
221,2018,12,Notre Dame,36,Syracuse,3,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
222,2018,13,USC,17,Notre Dame,24,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
223,2019,1,Louisville,17,Notre Dame,35,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
224,2019,3,Notre Dame,66,New Mexico,14,Notre Dame,Brian,Kelly,Brian Kelly,7,FBS Independents
225,2019,4,Georgia,23,Notre Dame,17,Georgia,Brian,Kelly,Brian Kelly,7,FBS Independents
226,2019,5,Notre Dame,35,Virginia,20,Notre Dame,Brian,Kelly,Brian Kelly,10,FBS Independents
227,2019,6,Notre Dame,52,Bowling Green,0,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
228,2019,7,Notre Dame,30,USC,27,Notre Dame,Brian,Kelly,Brian Kelly,9,FBS Independents
229,2019,9,Michigan,45,Notre Dame,14,Michigan,Brian,Kelly,Brian Kelly,8,FBS Independents
230,2019,10,Notre Dame,21,Virginia Tech,20,Notre Dame,Brian,Kelly,Brian Kelly,16,FBS Independents
231,2019,11,Duke,7,Notre Dame,38,Notre Dame,Brian,Kelly,Brian Kelly,15,FBS Independents
232,2019,12,Notre Dame,52,Navy,20,Notre Dame,Brian,Kelly,Brian Kelly,16,FBS Independents
233,2019,13,Notre Dame,40,Boston College,7,Notre Dame,Brian,Kelly,Brian Kelly,15,FBS Independents
234,2019,14,Stanford,24,Notre Dame,45,Notre Dame,Brian,Kelly,Brian Kelly,15,FBS Independents
235,2020,2,Notre Dame,27,Duke,13,Notre Dame,Brian,Kelly,Brian Kelly,0,0
236,2020,3,Notre Dame,52,South Florida,0,Notre Dame,Brian,Kelly,Brian Kelly,7,FBS Independents
237,2020,6,Notre Dame,42,Florida State,26,Notre Dame,Brian,Kelly,Brian Kelly,5,FBS Independents
238,2020,7,Notre Dame,12,Louisville,7,Notre Dame,Brian,Kelly,Brian Kelly,4,FBS Independents
239,2020,8,Pittsburgh,3,Notre Dame,45,Notre Dame,Brian,Kelly,Brian Kelly,3,FBS Independents
240,2020,9,Georgia Tech,13,Notre Dame,31,Notre Dame,Brian,Kelly,Brian Kelly,4,FBS Independents
241,2020,10,Notre Dame,47,Clemson,40,Notre Dame,Brian,Kelly,Brian Kelly,4,FBS Independents
242,2020,11,Boston College,31,Notre Dame,45,Notre Dame,Brian,Kelly,Brian Kelly,2,FBS Independents
243,2020,13,North Carolina,17,Notre Dame,31,Notre Dame,Brian,Kelly,Brian Kelly,2,FBS Independents
244,2020,14,Notre Dame,45,Syracuse,21,Notre Dame,Brian,Kelly,Brian Kelly,2,FBS Independents
